date,FB,GOOGL,AMZN,DELL,IBM,INTC,AAPL,MSFT,CSCO,ORCL,NVDA,VMW,HPQ,AMD,TSM,TXN,QCOM
2016-01-04,102.22,759.44,636.99,,119.2253,31.0178,99.4989,51.0656,23.9163,34.1057,31.8157,46.7698,10.5034,2.77,20.1865,49.9251,44.274
2016-01-05,102.73,761.53,633.79,,119.1376,30.8718,97.0055,51.2986,23.8076,34.0008,32.3268,47.3679,10.603,2.75,20.0586,49.4014,43.4083
2016-01-06,102.97,759.33,632.65,,118.5413,30.1874,95.1072,50.3667,23.5541,34.1725,30.9901,45.8975,10.2227,2.505,19.5012,49.0798,42.9666
2016-01-07,97.92,741.0,607.94,,116.5155,29.0558,91.0932,48.6148,23.0107,33.4284,29.7615,45.2911,9.7519,2.275,19.2818,47.4996,40.7582
2016-01-08,97.33,730.91,607.05,,115.4368,28.7547,91.5749,48.7639,22.4402,33.0563,29.1226,44.9422,9.5798,2.14,19.0168,46.2684,40.5241
2016-01-11,97.51,733.07,617.74,,116.8399,29.2566,93.0577,48.736,22.8839,33.333,29.1718,44.1198,9.6432,2.34,19.1265,47.0494,40.6964
2016-01-12,99.37,745.34,617.89,,116.5505,29.8224,94.4083,49.1833,22.9564,33.7432,29.6632,43.8955,9.7971,2.39,18.962,47.3434,41.0939
2016-01-13,95.44,719.57,581.81,,115.0334,29.1197,91.981,48.121,22.2772,32.5126,28.759,43.4219,9.5798,2.25,18.7153,45.7723,40.7229
2016-01-14,98.37,731.39,593.0,,116.5593,29.8771,93.9927,49.4908,22.3315,33.1899,28.1791,43.4718,9.6161,2.21,19.9398,45.9653,42.1627
2016-01-15,94.97,710.49,570.18,,114.0336,27.1577,91.7354,47.5153,21.3897,32.5507,26.6458,43.289,9.1543,2.03,19.2818,44.1277,40.4755
2016-01-19,95.26,719.08,574.48,,112.3498,27.1942,91.2915,47.1146,21.598,32.9609,26.862,40.6972,8.8374,1.95,19.7936,44.3023,40.714
2016-01-20,94.35,718.56,571.77,,106.8687,27.0026,91.4143,47.3289,20.7377,32.379,27.0094,40.8633,8.6472,1.8,19.2727,45.0281,40.5727
2016-01-21,94.16,726.67,575.02,,107.7895,27.0665,90.9515,47.04,20.7377,32.5507,27.324,41.1873,9.0003,2.09,19.492,45.7815,41.562
2016-01-22,97.94,745.46,596.38,,107.43,27.3083,95.7872,48.7267,21.1633,33.1994,27.9628,41.1208,8.8736,2.02,20.0403,46.2133,42.4631
2016-01-25,97.01,733.62,596.53,,107.0616,27.0117,93.9171,48.2607,20.9822,32.7606,27.9333,40.5061,8.5929,2.12,19.9124,46.0112,42.0302
2016-01-26,97.34,733.79,601.25,,107.5089,27.322,94.4366,48.6148,21.4803,33.6097,28.2085,40.9381,8.7287,2.07,19.7296,46.5808,42.8606
2016-01-27,94.45,717.58,583.35,,106.0794,27.2033,88.2315,47.7296,21.2177,33.3044,27.8744,36.9174,8.7106,2.13,19.8119,46.5533,41.9861
2016-01-28,109.11,748.3,635.35,,107.1844,27.3494,88.8643,48.5077,20.9234,33.7051,27.5697,37.3826,8.5838,2.08,19.7662,47.3309,38.5056
2016-01-29,112.21,761.35,587.0,,109.4382,28.3075,91.9338,51.3359,21.5437,34.64,28.7884,38.0056,8.7921,2.2,20.4241,48.9971,40.0515
2016-02-01,115.09,770.77,574.81,,109.4733,28.125,91.0743,50.9817,21.2629,34.6495,28.7983,37.7896,9.0275,2.14,20.5246,48.9045,40.7317
2016-02-02,114.61,780.91,552.1,,107.8158,27.1942,89.2326,49.3883,20.6743,33.7241,27.5795,36.7263,8.946,1.99,20.616,46.8773,38.1169
2016-02-03,112.69,749.38,531.07,,109.3768,27.0101,90.9988,48.6055,20.9188,34.0485,27.7171,37.3494,8.7377,2.07,20.945,46.5163,39.5127
2016-02-04,110.49,730.03,536.26,,111.9464,27.406,91.7299,48.4564,21.3173,34.7735,27.7269,37.6152,8.9279,2.09,21.2283,47.4512,40.3342
2016-02-05,104.07,703.76,502.13,,112.7532,26.7339,89.28,46.7418,20.7287,34.058,25.9774,37.0004,8.9732,1.98,20.7897,46.1737,38.8855
2016-02-08,99.75,704.16,488.1,,112.4963,26.5314,90.2201,46.0429,20.7649,33.9722,24.7881,37.1001,8.4842,1.93,20.8353,47.118,38.7706
2016-02-09,99.54,701.02,482.07,,109.9182,26.5222,90.2011,45.9218,20.5113,33.4666,25.0535,36.4189,8.3212,1.9,20.616,46.9143,38.5233
2016-02-10,101.0,706.85,490.48,,106.4808,25.9883,89.5174,46.3225,20.3845,33.581,24.9945,36.9506,8.4027,1.84,20.3784,46.9791,37.9491
2016-02-11,101.91,706.36,503.82,,104.4077,25.979,88.9761,46.3038,22.3496,33.2376,24.8668,37.1334,8.1673,1.86,20.1043,46.6366,37.9844
2016-02-12,102.01,706.89,507.08,,107.2338,26.3657,89.2515,47.0586,22.739,33.9054,25.2894,37.3909,8.5295,1.83,20.3236,47.3401,39.3625
2016-02-16,101.61,717.64,521.1,,108.7399,26.4946,91.7679,47.9503,23.4001,34.058,26.5278,38.3213,8.8826,1.83,21.3288,48.6361,41.2794
2016-02-17,105.2,731.97,534.1,,111.7166,27.1298,93.1733,49.1985,23.9616,34.9453,27.1864,39.8,9.1271,1.9,21.603,49.7006,42.7634
2016-02-18,103.47,717.51,525.0,,117.3423,27.0838,91.4071,48.9827,23.9344,34.9453,29.5256,40.0077,9.5255,1.91,21.7492,49.1175,43.3553
